"","Customer.ID","Age","Gender","Item.Purchased","Category","Purchase.Amount..USD.","Location","Size","Color","Season","Review.Rating","Subscription.Status","Shipping.Type","Discount.Applied","Promo.Code.Used","Previous.Purchases","Payment.Method","Frequency.of.Purchases"
"Customer.ID",1,-0.00407857419699169,-0.807960421629138,0.00364798602074903,-0.00413336173823628,0.0110478012084789,-0.013256564080158,-0.00180144746844822,-0.0111443058720555,-0.0180269615907688,0.00134301157554932,-0.768960362356697,-0.0209792662287125,-0.85749638386596,-0.85749638386596,-0.0391585255002943,-0.0155036823788027,-0.0122503346278686
"Age",-0.00407857419699169,1,0.00276326121512176,-0.000635902595107827,0.00354571898579419,-0.0104236473786865,-0.00195670331621133,-0.0236535269896173,0.00669959789031375,-0.028418127501184,-0.0219491480759333,0.0064916466203178,-0.0107426928217557,0.00436629626462973,0.00436629626462973,0.0404445311428946,-0.00521505103667229,0.0174063370382729
"Gender",-0.807960421629138,0.00276326121512176,1,0.00192127848398662,-0.00414445133657582,-0.0140440979632776,0.000746623269545441,0.0187641033940953,-0.000560281813427073,0.0162576056778263,0.00816378975240524,0.417196815564312,0.0164898609998464,0.595823094516082,0.595823094516082,0.0358726052644798,0.00336875541577852,0.0128293058004859
"Item.Purchased",0.00364798602074903,-0.000635902595107827,0.00192127848398662,1,0.0529508544208056,-0.0053418758926944,0.0203900578320846,-0.00894229454301366,0.0272407903121177,0.0127546838008896,-0.00462060977402172,0.00302808255791879,0.016243630419185,-0.0139829778825817,-0.0139829778825817,-0.00151288758103076,-0.00669465216990199,0.0152493526710018
"Category",-0.00413336173823628,0.00354571898579419,-0.00414445133657582,0.0529508544208056,1,-0.0178405585018782,0.000541113405418751,-0.0359155663005344,0.00911887458937403,0.000140872267249634,-0.000299371653276059,0.0110219006381393,-0.00903111539134912,0.000571891093681513,0.000571891093681513,-0.0156694386137428,-0.000775893638995149,0.0121900413893551
"Purchase.Amount..USD.",0.0110478012084789,-0.0104236473786865,-0.0140440979632776,-0.0053418758926944,-0.0178405585018782,1,0.0288034087650896,0.0278047453117094,-0.0043264976427755,-0.0183579224448717,0.0307759230739144,-0.00699604056128991,-0.0246365343600396,-0.0177980546900216,-0.0177980546900216,0.00806341227058771,-0.00907699547185619,-0.017219309916413
"Location",-0.013256564080158,-0.00195670331621133,0.000746623269545441,0.0203900578320846,0.000541113405418751,0.0288034087650896,1,0.000275186046076636,-0.00494413172076752,0.0122590950818292,-0.00422167433111862,0.00452934494813561,-0.001458009297611,0.0119257824605421,0.0119257824605421,-0.0329615625233688,-0.00693071121166886,-0.0127396550701689
"Size",-0.00180144746844822,-0.0236535269896173,0.0187641033940953,-0.00894229454301366,-0.0359155663005344,0.0278047453117094,0.000275186046076636,1,-0.00512367384634277,-0.00928617755839566,0.0276025246481153,-0.0145012785685585,0.0010196686457504,-0.00180364110229903,-0.00180364110229903,-0.0111519392534482,-0.0332199885864614,-0.00885973983935747
"Color",-0.0111443058720555,0.00669959789031375,-0.000560281813427073,0.0272407903121177,0.00911887458937403,-0.0043264976427755,-0.00494413172076752,-0.00512367384634277,1,-0.000109172798740097,0.0273556194441403,0.0213331085922262,-3.41279236814505e-05,0.0193944347653091,0.0193944347653091,0.000417645771860926,-0.00757835170641495,-0.00993844749462502
"Season",-0.0180269615907688,-0.028418127501184,0.0162576056778263,0.0127546838008896,0.000140872267249634,-0.0183579224448717,0.0122590950818292,-0.00928617755839566,-0.000109172798740097,1,0.000159799175178357,-0.00513912362222831,0.0191216055286588,0.0155502507042786,0.0155502507042786,0.0243328367480154,-0.00552036564456422,0.00956777482883394
"Review.Rating",0.00134301157554932,-0.0219491480759333,0.00816378975240524,-0.00462060977402172,-0.000299371653276059,0.0307759230739144,-0.00422167433111862,0.0276025246481153,0.0273556194441403,0.000159799175178357,1,-0.00636805426974908,-0.00978715983854216,-0.0124856943754619,-0.0124856943754619,0.00422909946527092,0.0144036095370799,0.00564316638581869
"Subscription.Status",-0.768960362356697,0.0064916466203178,0.417196815564312,0.00302808255791879,0.0110219006381393,-0.00699604056128991,0.00452934494813561,-0.0145012785685585,0.0213331085922262,-0.00513912362222831,-0.00636805426974908,1,0.017142450195041,0.700202491988251,0.700202491988251,0.0308594361252503,0.0155592580980863,0.00360121284952799
"Shipping.Type",-0.0209792662287125,-0.0107426928217557,0.0164898609998464,0.016243630419185,-0.00903111539134912,-0.0246365343600396,-0.001458009297611,0.0010196686457504,-3.41279236814505e-05,0.0191216055286588,-0.00978715983854216,0.017142450195041,1,0.0208770657778695,0.0208770657778695,-0.0139314785684489,-0.0198110009880793,-0.0039757876065692
"Discount.Applied",-0.85749638386596,0.00436629626462973,0.595823094516082,-0.0139829778825817,0.000571891093681513,-0.0177980546900216,0.0119257824605421,-0.00180364110229903,0.0193944347653091,0.0155502507042786,-0.0124856943754619,0.700202491988251,0.0208770657778695,1,1,0.0235370956261602,0.0143572016261382,0.0101443266836084
"Promo.Code.Used",-0.85749638386596,0.00436629626462973,0.595823094516082,-0.0139829778825817,0.000571891093681513,-0.0177980546900216,0.0119257824605421,-0.00180364110229903,0.0193944347653091,0.0155502507042786,-0.0124856943754619,0.700202491988251,0.0208770657778695,1,1,0.0235370956261602,0.0143572016261382,0.0101443266836084
"Previous.Purchases",-0.0391585255002943,0.0404445311428946,0.0358726052644798,-0.00151288758103076,-0.0156694386137428,0.00806341227058771,-0.0329615625233688,-0.0111519392534482,0.000417645771860926,0.0243328367480154,0.00422909946527092,0.0308594361252503,-0.0139314785684489,0.0235370956261602,0.0235370956261602,1,0.0211232478367774,0.0402607079048616
"Payment.Method",-0.0155036823788027,-0.00521505103667229,0.00336875541577852,-0.00669465216990199,-0.000775893638995149,-0.00907699547185619,-0.00693071121166886,-0.0332199885864614,-0.00757835170641495,-0.00552036564456422,0.0144036095370799,0.0155592580980863,-0.0198110009880793,0.0143572016261382,0.0143572016261382,0.0211232478367774,1,-0.0399110669130533
"Frequency.of.Purchases",-0.0122503346278686,0.0174063370382729,0.0128293058004859,0.0152493526710018,0.0121900413893551,-0.017219309916413,-0.0127396550701689,-0.00885973983935747,-0.00993844749462502,0.00956777482883394,0.00564316638581869,0.00360121284952799,-0.0039757876065692,0.0101443266836084,0.0101443266836084,0.0402607079048616,-0.0399110669130533,1
